職稱,工作經歷,學歷要求,擅長工具,工作技能
全端工程師,3年以上,大學以上,"HTML、JavaScript、Node.js、AngularJS",軟體工程系統開發、軟體程式設計
軟體工程師,不拘,專科以上,"Linux、Git、C#、Python、PostgreSQL",軟體工程系統開發、軟體整合測試、軟體程式設計
後端工程師,2年以上,大學以上,"Linux、C++、Java、C、PostgreSQL、Git",軟體程式設計、軟體工程系統開發、系統整合分析
軟體工程師,不拘,大學以上,不拘,不拘
資深軟體工程師,5年以上,大學,"Github、HTML、JavaScript、CSS、ReactJS",軟體程式設計
全端工程師,3年以上,大學、碩士,"MySQL、Oracle、ReactNative",軟體程式設計、網路程式設計
軟體工程師,1年以上,大學、碩士,"Github、C#、MS SQL",不拘
資深全端工程師,不拘,大學、碩士,"Github、Git、AJAX、C#、Java、MS SQL、MySQL、Oracle、PostgreSQL、HTML、JavaScript、jQuery、CSS、ReactJS、AngularJS、VueJS",不拘
前端工程師,不拘,大學、碩士,"HTML、JavaScript、CSS、ReactJS",不拘
全端工程師,3年以上,大學以上,"HTML、JavaScript、Node.js、AngularJS",軟體工程系統開發、軟體程式設計
行動應用開發工程師,不拘,大學以上,"Git、C、SWIFT、Kotlin、IoT、MySQL",系統整合分析、軟體工程系統開發、軟體程式設計
全端工程師,3年以上,專科、大學,"UML、ASP.NET、C#、MS SQL、HTML、jQuery、CSS",不拘
軟體工程師,不拘,大學以上,"C、C#、C++、Visual C#、LabVIEW",系統架構規劃、軟體工程系統開發、韌體整合測試
全端工程師,不拘,不拘,"AJAX、ASP.NET、C#、Visual Studio、JavaScript、jQuery、CSS",系統整合分析、軟體程式設計、資料庫程式設計
資深軟體工程師,6年以上,大學以上,不拘,軟體工程系統開發、軟體程式設計
軟體工程師,不拘,大學以上,不拘,不拘
軟體工程師,2年以上,碩士以上,"C#、C++",軟體程式設計
區塊鏈工程師,不拘,大學以上,"Github、C#、C++、Python、AWS、JavaScript、jQuery",系統架構規劃、軟體程式設計、網路程式設計
AI工程師,3年以上,專科以上,"ASP.NET、C#、jQuery",系統架構規劃、系統維護操作、AI
系統分析師,不拘,專科以上,"Excel、Outlook、PowerPoint、Word、Power BI",不拘
自動化工程師,不拘,大學以上,"C、C#、C++、Visual Studio",系統架構規劃、軟體工程系統開發、自動化系統設計整合
行動應用開發工程師,1年以上,大學以上,"Android、Java、Kotlin、ANSI SQL、MS SQL、PL/SQL、ReactJS",系統架構規劃、系統整合分析、軟體程式設計
軟體工程師,2年以上,專科以上,"Windows 10、C、C#、C++、Visual Studio",軟體工程系統開發、軟體程式設計
全端工程師,2年以上,大學、碩士,"Git、HTML、JavaScript、CSS、Angular",作業系統基本操作、軟體程式設計
機器人軟體工程師,3年以上,大學以上,不拘,不拘
嵌入式系統工程師,不拘,大學以上,不拘,不拘
軟體工程師,2年以上,專科、大學,"SAP、ABAP、SAP IMG、SAP HANA",系統整合分析、軟體品質與保證、軟體程式設計
軟體工程師,3年以上,大學以上,不拘,不拘
資料庫工程師,2年以上,大學以上,"LabVIEW、MySQL、PL/SQL",系統整合分析、軟體工程系統開發、資料庫程式設計
嵌入式系統工程師,1年以上,專科、大學、碩士,"Linux、Android、C++",軟體工程系統開發、軟體程式設計
全端工程師,3年以上,專科以上,"JavaScript、jQuery、VueJS",系統架構規劃、系統整合分析、軟體工程系統開發
嵌入式系統工程師,3年以上,專科、大學、碩士,"C、Java、Spring、MySQL、AWS",系統架構規劃、軟體工程系統開發、軟體程式設計
ERP工程師,2年以上,專科以上,"鼎新",不拘
全端工程師,1年以上,專科以上,"AJAX、ASP.NET、C#、Visual Basic .net、Visual Studio、MS SQL、JavaScript、jQuery",軟體工程系統開發、軟體程式設計
Python工程師,不拘,大學以上,"Python",不拘
嵌入式系統工程師,1年以上,大學以上,"Linux、Android、C、C++",系統架構規劃、系統整合分析、軟體工程系統開發
醫療軟體工程師,不拘,大學、碩士,"MCU",軟體工程系統開發、軟體程式設計、AI
行動應用開發工程師,不拘,大學以上,"Android、C、C++、Java、Kotlin",軟體程式設計、資料庫系統管理維護
後端工程師,3年以上,專科以上,"Android、Git、Java、Spring、J2EE、JavaScript",系統架構規劃、軟體工程系統開發
.NET工程師,1年以上,專科、大學、碩士,"ASP.NET、C#、HTML、JavaScript",不拘
影像軟體工程師,3年以上,大學、碩士,"C#、C++、Java",系統架構規劃、軟體程式設計、資料庫程式設計
嵌入式系統工程師,不拘,大學,"C、Python",軟體程式設計
Node.js工程師,3年以上,專科以上,"Git、Node.js",不拘
軟體工程師,不拘,大學以上,不拘,不拘
嵌入式系統工程師,不拘,碩士,"C、C++",不拘
Linux系統工程師,不拘,大學、碩士,"Linux、Git、C、Python",不拘
嵌入式系統工程師,3年以上,專科以上,"Linux、C",系統架構規劃、軟體工程系統開發
全端工程師,不拘,大學以上,"UML、Git、C++、Go、JavaScript",系統架構規劃、軟體工程系統開發
軟體工程師,1年以上,專科以上,"OOP、Git、Java、HTML、JavaScript",不拘
Java工程師,2年以上,專科以上,"Java、Spring",系統架構規劃、系統整合分析、軟體工程系統開發
軟體工程師,不拘,專科、大學、碩士,不拘,不拘
Python工程師,1年以上,不拘,"Linux、Python、MS SQL",系統架構規劃、軟體程式設計
軟體工程師,2年以上,大學,"C#、C++",系統架構規劃、軟體工程系統開發
.NET工程師,1年以上,專科、大學、碩士,"ASP.NET、C#、MS SQL、HTML、JavaScript、jQuery、CSS",軟體程式設計
全端工程師,3年以上,專科以上,"Android、Git、Spring、JavaScript、VueJS、Angular",系統架構規劃、軟體工程系統開發
軟體工程師,1年以上,專科、大學,"C#、Visual Studio、MS SQL、Excel、PowerPoint、Word、PLC",系統架構規劃、軟體工程系統開發
網頁工程師,不拘,專科、大學,"ASP、PHP、HTML、JavaScript、CSS、Excel",不拘
Python工程師,不拘,大學以上,"PHP、Python",軟體工程系統開發、軟體程式設計
行動應用開發工程師,2年以上,專科、大學、碩士,"Android、iOS、Github、Git、Objective-C、SWIFT",軟體工程系統開發、軟體程式設計
全端工程師,不拘,大學以上,"Github、Git、Python、HTML、JavaScript、CSS",軟體程式設計、資料庫程式設計
.NET工程師,不拘,專科以上,"ASP.NET、C#、Visual C#",軟體工程系統開發、軟體程式設計
5G系統工程師,1年以上,大學、碩士,不拘,不拘
C++工程師,5年以上,大學以上,"C++",不拘
自動化工程師,不拘,大學,"PLC",不拘
演算法工程師,1年以上,碩士,"C#、C++",軟體工程系統開發、軟體品質與保證
.NET工程師,1年以上,大學以上,"ASP.NET、C#、Visual C#、WinForm、MySQL、Oracle、PL/SQL、jQuery",不拘
全端工程師,1年以上,高中以上,"Linux、Git、ASP.NET、C#、MySQL、JavaScript、jQuery、CSS、VueJS",系統整合分析、軟體程式設計
.NET工程師,2年以上,專科以上,"ASP.NET、C#、PHP、Visual Studio、MS SQL、JavaScript",不拘
軟體工程師,不拘,專科、大學、碩士,"C#、MS SQL、MySQL、JavaScript、jQuery",軟體程式設計
系統分析師,2年以上,碩士以上,"ASP.NET、C#、Visual Studio、MS SQL",系統架構規劃、系統整合分析、軟體工程系統開發
資料科學家,3年以上,碩士以上,"Python、R、SQL、Tableau、TensorFlow",數據分析與建模、機器學習、資料可視化
雲端工程師,2年以上,大學以上,"AWS、Azure、Docker、Kubernetes",雲端架構設計、系統整合分析
遊戲開發工程師,不拘,專科以上,"C#、Unity、Blender、Git",遊戲程式開發、3D 模型整合、遊戲引擎設計
AI工程師,4年以上,碩士,"PyTorch、TensorFlow、Scikit-learn、Python",深度學習模型設計、AI 系統整合
大數據工程師,5年以上,碩士以上,"Hadoop、Spark、Kafka、Hive",大數據處理、數據倉庫設計
全端工程師,2年以上,大學以上,"React、Node.js、GraphQL、MySQL",網頁程式開發、資料庫設計
資深嵌入式系統工程師,6年以上,大學以上,"C、C++、RTOS、IoT",嵌入式系統設計、系統優化
網頁設計師,1年以上,專科以上,"HTML、CSS、JavaScript、Figma",網站 UI/UX 設計、前端頁面開發
演算法工程師,3年以上,碩士以上,"MATLAB、Python、C++",數值分析、演算法設計
後端工程師,不拘,大學以上,"Java、Spring Boot、PostgreSQL、Redis",後端架構設計、API 開發
資料工程師,3年以上,大學以上,"Python、ETL、SQL、Apache Airflow",資料管線設計、資料庫管理
系統架構師,8年以上,碩士以上,"Java、AWS、Docker、Kubernetes、Terraform",大型系統規劃、微服務架構設計
行動應用開發工程師,1年以上,專科以上,"Kotlin、Android Studio、Firebase",行動應用程式開發、系統整合分析
自動化測試工程師,2年以上,大學以上,"Selenium、Python、Jenkins、Robot Framework",軟體自動化測試、測試流程設計
前端工程師,3年以上,大學以上,"Vue.js、TypeScript、CSS、HTML",前端框架開發、跨平台相容性測試
網路安全工程師,5年以上,碩士以上,"Wireshark、Metasploit、Python",資安防護設計、滲透測試
資料分析師,2年以上,大學以上,"SQL、Excel、Power BI、Python",商業數據分析、資料視覺化
軟體工程師,不拘,專科以上,"Java、Spring、PostgreSQL",軟體設計與開發
DevOps工程師,3年以上,大學以上,"Jenkins、Docker、Kubernetes、Git",持續整合與部署、伺服器管理
雲端數據工程師,4年以上,碩士,"AWS Redshift、BigQuery、Python",雲端數據處理、資料管線設計
資深全端工程師,6年以上,大學以上,"React、Node.js、MongoDB、GraphQL",全端開發架構設計、跨平台應用開發
Python工程師,不拘,大學以上,"Django、Flask、NumPy、Pandas",後端開發、數據處理
機器學習工程師,3年以上,碩士以上,"Scikit-learn、Keras、TensorFlow、Python",模型訓練與調參、資料處理與分析
嵌入式軟體工程師,2年以上,大學以上,"C、C++、ARM Cortex",嵌入式系統開發、韌體設計
後端工程師,2年以上,大學以上,"Node.js、Express.js、PostgreSQL",API 開發、資料庫設計
數據科學家,3年以上,碩士以上,"Python、R、Tableau、SQL",數據分析、機器學習模型建置
影像處理工程師,4年以上,碩士,"OpenCV、MATLAB、C++",影像識別與處理
遊戲引擎工程師,3年以上,專科以上,"C++、Unreal Engine、Unity",遊戲引擎優化與開發
資深後端工程師,5年以上,大學以上,"Java、Spring Boot、MongoDB",後端開發架構設計
IoT工程師,2年以上,大學以上,"MQTT、Arduino、Raspberry Pi",物聯網裝置開發與整合
資訊安全工程師,4年以上,碩士,"Splunk、Wireshark、Python",安全事件監控、系統弱點分析
網路工程師,1年以上,大學以上,"Cisco、Juniper、Wireshark",網路設計與維護
ERP工程師,2年以上,專科以上,"SAP、ABAP",ERP 系統設計與維護
資料庫管理員,3年以上,大學以上,"MySQL、PostgreSQL、MongoDB",資料庫管理與調優
影像處理工程師,2年以上,碩士以上,"OpenCV、Python、MATLAB",影像處理與分析
區塊鏈工程師,3年以上,碩士以上,"Solidity、Ethereum、Hyperledger",智能合約開發、區塊鏈架構設計
AI研究員,不拘,博士,"PyTorch、TensorFlow、Python",人工智慧模型研究與優化
數據分析師,2年以上,大學以上,"SQL、Tableau、Excel",資料整理與分析
後端開發工程師,1年以上,大學以上,"Ruby on Rails、PostgreSQL",後端架構設計
全端工程師,不拘,大學以上,"Vue.js、Django、MySQL",前後端整合設計
自動化測試工程師,2年以上,專科以上,"Selenium、Python",測試流程設計與維護
前端開發工程師,1年以上,大學以上,"React、TypeScript、CSS",前端頁面設計
遊戲設計師,不拘,專科以上,"Blender、Unity",遊戲概念設計與實現
Python開發工程師,不拘,專科以上,"Flask、Django、Pandas",Python 應用開發
機器學習工程師,4年以上,碩士,"TensorFlow、Scikit-learn",機器學習模型調參與訓練
嵌入式系統工程師,3年以上,大學以上,"C、C++、Linux",嵌入式系統開發
軟體品質保證工程師,2年以上,大學以上,"Selenium、JIRA",軟體測試與缺陷追蹤
AI軟體工程師,不拘,大學以上,"Python、PyTorch",人工智慧應用開發
資料科學家,5年以上,碩士以上,"Python、R",數據分析與預測模型開發
網頁開發工程師,1年以上,大學以上,"HTML、CSS、JavaScript",網站功能開發
自動化工程師,3年以上,大學以上,"PLC、SCADA",工廠自動化設計與維護
嵌入式系統開發工程師,5年以上,碩士,"ARM Cortex、Linux",嵌入式產品設計與開發
後端開發工程師,不拘,大學以上,"Java、Spring Boot",後端應用開發
資深資料科學家,7年以上,碩士以上,"Python、SQL、R",資料分析與科學建模
AI研究工程師,3年以上,碩士以上,"TensorFlow、PyTorch",深度學習應用開發
自動化測試工程師,4年以上,大學以上,"Appium、Selenium",行動應用測試
遊戲開發者,不拘,專科以上,"Unity、C#",遊戲程式與設計
數據工程師,不拘,大學以上,"Hadoop、Spark",數據處理與整合
DevOps專家,3年以上,碩士,"Docker、Kubernetes",持續交付與部署
網路開發工程師,1年以上,大學以上,"HTML、CSS、JavaScript",網頁開發與設計
影像軟體工程師,4年以上,碩士,"OpenCV、Python",影像處理與分析
全端開發工程師,不拘,大學以上,"React、Node.js",前後端整合設計
Python應用工程師,3年以上,碩士,"Flask、Django",Python 網路應用開發
區塊鏈開發者,不拘,大學以上,"Solidity、Ethereum",智能合約開發
演算法專家,4年以上,博士,"MATLAB、Python",演算法優化與開發
AI技術工程師,2年以上,碩士以上,"PyTorch、Scikit-learn",AI 應用設計
系統整合工程師,3年以上,大學以上,"Linux、Docker",系統整合與維護
數據科學家,4年以上,碩士,"Python、SQL",數據建模與分析
機器學習專家,不拘,博士,"TensorFlow、PyTorch",機器學習應用設計
資料分析師,1年以上,大學以上,"Excel、Tableau",數據可視化分析
後端開發者,不拘,專科以上,"Ruby、SQL",後端應用開發
嵌入式開發工程師,2年以上,大學以上,"C、Linux",嵌入式產品設計
Python程式設計師,1年以上,專科以上,"Django、Flask",Python 程式開發
系統架構設計師,5年以上,碩士,"AWS、Terraform",雲端架構設計
AI技術開發者,3年以上,碩士,"Scikit-learn、TensorFlow",AI 模型設計
機器學習研究員,4年以上,博士,"PyTorch、Python",深度學習模型優化
網頁設計專家,不拘,專科以上,"HTML、CSS",網頁設計與開發
Python數據工程師,3年以上,大學以上,"Pandas、NumPy",數據處理與分析
物聯網開發工程師,2年以上,大學以上,"MQTT、IoT",物聯網系統設計
資料科學專家,6年以上,博士,"Python、SQL",資料分析與建模
機器學習開發者,3年以上,碩士,"TensorFlow",深度學習開發
自動化測試專家,4年以上,大學以上,"Selenium、JIRA",軟體測試與驗證